,Age,Assists,C_Apps,C_Assists,C_Clean_Sheets,C_Goals,C_Mins,Clean Sheets,Club,Club_Appearances,Country,Current_Value,F_Def,F_Drib,F_Pace,F_Passing,F_Phy,F_Rating,F_Shooting,F_WRate,FantasyLeaguePoints,FantasyLeagueVal,Goals,Goals_per_game,Mins_per_goal,Minutes_played_club,Name,Position,Previous_Value,Wiki_Views
10,25.0,0.0,18.0,0.0,12.0,0.0,1620.0,13.0,FC Barcelona,36.0,Germany,"40,00 Mill. ",38.0,86.0,84.0,87.0,81.0,85.0,83.0,No,99.0,17.0,0.0,0,,3240.0,Marc-André ter Stegen,Keeper,"25,00 Mill. ?","1,372"
11,24.0,8.0,7.0,0.0,3.0,0.0,621.0,,FC Barcelona,31.0,Portugal,"30,00 Mill. ",76.0,80.0,92.0,68.0,71.0,81.0,57.0,High / Medium,32.0,3.0,1.0,0.03,2782.0,2781.0,Nélson Semedo,Right-Back,"20,00 Mill. ?","1,630"
12,24.0,3.0,4.0,2.0,0.0,2.0,336.0,,FC Barcelona,20.0,Spain,"18,00 Mill. ",34.0,80.0,77.0,70.0,67.0,82.0,83.0,High / Medium,29.0,2.0,6.0,0.3,141.0,847.0,Paco Alcácer,Centre-Forward,"18,00 Mill. ?",969
13,24.0,0.0,2.0,1.0,1.0,0.0,192.0,,FC Barcelona,17.0,France,"16,00 Mill. ",75.0,75.0,80.0,75.0,75.0,79.0,61.0,High / Medium,13.0,2.0,0.0,0,,1175.0,Lucas Digne,Left-Back,"16,00 Mill. ?",637
14,24.0,2.0,2.0,0.0,1.0,0.0,259.0,,FC Barcelona,30.0,Portugal,"22,00 Mill. ",71.0,78.0,68.0,78.0,81.0,82.0,71.0,Medium / Medium,13.0,3.0,3.0,0.1,531.0,1592.0,André Gomes,Central Midfield,"25,00 Mill. ?","1,285"
15,33.0,3.0,14.0,0.0,9.0,1.0,1041.0,,FC Barcelona,23.0,Spain,"20,00 Mill. ",58.0,90.0,71.0,87.0,58.0,87.0,70.0,High / Medium,55.0,6.5,0.0,0,,1329.0,Andrés Iniesta,Central Midfield,"20,00 Mill. ?","2,810"
16,23.0,4.0,3.0,2.0,2.0,2.0,383.0,,FC Barcelona,26.0,Spain,"18,00 Mill. ",51.0,83.0,79.0,81.0,58.0,80.0,74.0,Medium / Medium,35.0,2.5,1.0,0.04,1.182,1182.0,Denis Suárez,Central Midfield,"18,00 Mill. ?","1,094"
17,24.0,2.0,0.0,0.0,0.0,0.0,0.0,,FC Barcelona,18.0,Brazil,"15,00 Mill. ",62.0,84.0,74.0,79.0,64.0,81.0,76.0,Medium / Medium,0.0,2.0,6.0,0.33,179.0,1074.0,Rafinha,Central Midfield,"15,00 Mill. ?",30
18,23.0,3.0,5.0,1.0,0.0,1.0,494.0,,FC Barcelona,17.0,Spain,"14,00 Mill. ",26.0,87.0,93.0,75.0,61.0,82.0,70.0,High / Low,26.0,2.0,4.0,0.23,366.0,1463.0,Gerard Deulofeu,Right Wing,"12,00 Mill. ?","2,348"
19,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FC Barcelona,1.0,Netherlands,"9,00 Mill. ",54.0,77.0,79.0,74.0,81.0,81.0,83.0,No,0.0,2.0,0.0,0,,90.0,Jasper Cillessen,Keeper,"9,00 Mill. ?",669
20,30.0,3.0,0.0,0.0,0.0,0.0,0.0,,FC Barcelona,18.0,Turkey,"12,00 Mill. ",61.0,84.0,71.0,81.0,72.0,82.0,73.0,High / High,0.0,2.0,3.0,0.17,415.0,1244.0,Arda Turan,Left Wing,"15,00 Mill. ?","1,298"
21,28.0,2.0,3.0,1.0,4.0,1.0,347.0,,FC Barcelona,6.0,Spain,"7,50 Mill. ",69.0,80.0,91.0,72.0,70.0,76.0,67.0,High / Medium,38.0,2.5,2.0,0.33,238.0,475.0,Aleix Vidal,Right-Back,"7,50 Mill. ?",740
22,33.0,3.0,6.0,0.0,5.0,0.0,541.0,,FC Barcelona,25.0,Argentina,"6,00 Mill. ",82.0,70.0,65.0,71.0,77.0,83.0,53.0,Medium / High,34.0,2.7,1.0,0.04,1.916,1916.0,Javier Mascherano,Centre-Back,"8,00 Mill. ?","1,397"
23,32.0,0.0,5.0,0.0,4.0,0.0,468.0,,FC Barcelona,9.0,Belgium,"5,00 Mill. ",76.0,60.0,68.0,67.0,74.0,78.0,61.0,High / Medium,25.0,3.5,0.0,0,,388.0,Thomas Vermaelen,Centre-Back,"3,00 Mill. ?","1,181"
24,26.0,8.0,15.0,4.0,0.0,5.0,1284.0,,Atlético Madrid,36.0,France,"100,00 Mill. ",30.0,87.0,86.0,78.0,68.0,88.0,85.0,High / Medium,65.0,20.5,16.0,0.44,192.0,3067.0,Antoine Griezmann,Centre-Forward,"80,00 Mill. ?","4,189"
25,25.0,8.0,15.0,2.0,9.0,2.0,1348.0,,Atlético Madrid,36.0,Spain,"70,00 Mill. ",63.0,81.0,70.0,86.0,75.0,84.0,75.0,High / High,61.0,15.0,4.0,0.11,793.0,3172.0,Koke,Central Midfield,"60,00 Mill. ?",13
26,24.0,0.0,18.0,0.0,11.0,0.0,1620.0,15.0,Atlético Madrid,30.0,Slovenia,"50,00 Mill. ",43.0,84.0,84.0,77.0,87.0,88.0,90.0,No,91.0,16.5,0.0,0,,2651.0,Jan Oblak,Keeper,"40,00 Mill. ?",850
27,24.0,4.0,6.0,3.0,4.0,3.0,666.0,,Atlético Madrid,35.0,Belgium,"40,00 Mill. ",29.0,87.0,88.0,78.0,63.0,85.0,79.0,High / Medium,48.0,13.2,10.0,0.29,227.0,2269.0,Yannick Carrasco,Left Wing,"40,00 Mill. ?",9
28,23.0,3.0,17.0,2.0,10.0,2.0,1492.0,,Atlético Madrid,33.0,Spain,"70,00 Mill. ",77.0,81.0,73.0,78.0,75.0,82.0,69.0,Medium / High,65.0,15.0,4.0,0.12,636.0,2543.0,Saúl Ñíguez,Central Midfield,"40,00 Mill. ?",917
29,31.0,1.0,15.0,0.0,9.0,0.0,1350.0,,Atlético Madrid,31.0,Uruguay,"35,00 Mill. ",88.0,64.0,65.0,65.0,78.0,88.0,48.0,Medium / High,63.0,15.3,3.0,0.1,902.0,2706.0,Diego Godín,Centre-Back,"38,00 Mill. ?",474
30,26.0,1.0,15.0,0.0,10.0,0.0,1370.0,,Atlético Madrid,32.0,Montenegro,"30,00 Mill. ",83.0,57.0,63.0,52.0,74.0,82.0,35.0,Medium / High,64.0,13.0,1.0,0.03,2.727,2727.0,Stefan Savic,Centre-Back,"30,00 Mill. ?",3
31,28.0,7.0,8.0,0.0,1.0,1.0,690.0,,Atlético Madrid,30.0,Spain,"25,00 Mill. ",28.0,82.0,80.0,79.0,76.0,83.0,77.0,High / High,24.0,3.5,6.0,0.2,389.0,2333.0,Vitolo,Left Wing,"30,00 Mill. ?",17
32,22.0,0.0,5.0,0.0,1.0,1.0,519.0,,Atlético Madrid,17.0,Uruguay,"35,00 Mill. ",85.0,54.0,70.0,51.0,81.0,83.0,45.0,Medium / High,26.0,2.0,0.0,0,,1011.0,José Giménez,Centre-Back,"28,00 Mill. ?",322
33,25.0,0.0,6.0,3.0,4.0,0.0,543.0,,Atlético Madrid,14.0,Croatia,"20,00 Mill. ",84.0,82.0,86.0,83.0,83.0,84.0,63.0,High / Medium,35.0,3.5,0.0,0,,922.0,Sime Vrsaljko,Right-Back,"16,00 Mill. ?",3
34,22.0,8.0,14.0,1.0,0.0,5.0,1106.0,,Atlético Madrid,31.0,Argentina,"20,00 Mill. ",49.0,85.0,82.0,65.0,57.0,79.0,80.0,Medium / Low,63.0,9.5,4.0,0.13,303.0,1211.0,Ángel Correa,Secondary Striker,"18,00 Mill. ?",521
35,30.0,5.0,6.0,1.0,0.0,3.0,509.0,,Atlético Madrid,31.0,France,"20,00 Mill. ",35.0,79.0,87.0,75.0,68.0,83.0,83.0,Medium / Medium,37.0,9.8,12.0,0.39,143.0,1717.0,Kévin Gameiro,Centre-Forward,"24,00 Mill. ?",626
36,29.0,3.0,1.0,0.0,1.0,0.0,216.0,,Atlético Madrid,23.0,Argentina,"15,00 Mill. ",39.0,84.0,81.0,81.0,55.0,83.0,74.0,High / Medium,10.0,2.0,3.0,0.13,340.0,1019.0,Nico Gaitán,Left Wing,"20,00 Mill. ?",0
37,21.0,0.0,9.0,1.0,7.0,0.0,822.0,,Atlético Madrid,15.0,France,"20,00 Mill. ",76.0,57.0,65.0,53.0,70.0,76.0,42.0,Medium / High,47.0,3.5,0.0,0,,1253.0,Lucas Hernández,Centre-Back,"15,00 Mill. ?",661
38,32.0,6.0,11.0,1.0,6.0,1.0,981.0,,Atlético Madrid,34.0,Brazil,"18,00 Mill. ",82.0,78.0,79.0,77.0,79.0,85.0,62.0,High / Medium,55.0,13.2,3.0,0.09,1.003,3009.0,Filipe Luís,Left-Back,"18,00 Mill. ?",580
39,32.0,2.0,8.0,0.0,5.0,0.0,688.0,,Atlético Madrid,23.0,Spain,"8,00 Mill. ",80.0,77.0,82.0,75.0,77.0,83.0,58.0,High / Medium,31.0,2.1,0.0,0,,1977.0,Juanfran,Right-Back,"12,00 Mill. ?",13
40,24.0,2.0,14.0,0.0,9.0,2.0,1171.0,,Atlético Madrid,16.0,Ghana,"8,00 Mill. ",83.0,80.0,80.0,78.0,86.0,84.0,79.0,High / High,56.0,8.0,1.0,0.06,627.0,627.0,Thomas,Defensive Midfield,"4,50 Mill. ?",117
41,33.0,6.0,2.0,0.0,0.0,1.0,344.0,,Atlético Madrid,31.0,Spain,"4,00 Mill. ",25.0,78.0,76.0,71.0,69.0,81.0,78.0,Medium / Medium,19.0,4.9,8.0,0.26,177.0,1416.0,Fernando Torres,Centre-Forward,"4,00 Mill. ?","3,707"
42,31.0,0.0,1.0,0.0,1.0,0.0,84.0,,Atlético Madrid,3.0,Argentina,"4,00 Mill. ",68.0,79.0,69.0,77.0,75.0,80.0,70.0,Medium / Medium,6.0,2.0,0.0,0,,143.0,Augusto Fernández,Central Midfield,"4,00 Mill. ?",182
43,34.0,0.0,15.0,1.0,10.0,0.0,1346.0,,Atlético Madrid,34.0,Spain,"3,00 Mill. ",75.0,76.0,64.0,79.0,73.0,81.0,72.0,Medium / High,49.0,13.2,0.0,0,,2896.0,Gabi,Central Midfield,"3,00 Mill. ?",15
44,33.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Atlético Madrid,9.0,Spain,"2,00 Mill. ",46.0,79.0,85.0,82.0,81.0,81.0,78.0,No,0.0,2.0,0.0,0,,769.0,Miguel Ángel Moyà,Keeper,"2,00 Mill. ?",165
45,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Atlético Madrid,2.0,Argentina,"1,00 Mill. ",41.0,70.0,78.0,74.0,64.0,69.0,67.0,No,0.0,2.0,0.0,0,,180.0,Axel Werner,Keeper,"1,00 Mill. ?",123
46,29.0,8.0,1.0,0.0,0.0,1.0,90.0,,Atlético Madrid,35.0,Spain,"50,00 Mill. ",40.0,76.0,75.0,65.0,88.0,86.0,83.0,High / Medium,4.0,2.0,20.0,0.57,155.0,3090.0,Diego Costa,Centre-Forward,"50,00 Mill. ?","4,441"
47,25.0,4.0,18.0,0.0,0.0,6.0,1620.0,,RCD Espanyol Barcelona,37.0,Spain,"12,00 Mill. ",45.0,76.0,66.0,65.0,63.0,78.0,77.0,High / Medium,67.0,16.1,13.0,0.35,252.0,3280.0,Gerard Moreno,Centre-Forward,"8,00 Mill. ?",3
48,24.0,2.0,16.0,0.0,6.0,1.0,1407.0,,RCD Espanyol Barcelona,23.0,Spain,"11,00 Mill. ",64.0,79.0,55.0,76.0,66.0,78.0,63.0,Medium / Low,46.0,7.0,1.0,0.043,1412.0,1412.0,Sergi Darder,Central Midfield,"11,00 Mill. ?",121
49,28.0,2.0,18.0,0.0,6.0,0.0,1620.0,,RCD Espanyol Barcelona,36.0,Spain,"6,50 Mill. ",77.0,67.0,60.0,66.0,81.0,78.0,66.0,High / High,42.0,14.3,3.0,0.08,1.08,3240.0,David López,Centre-Back,"6,50 Mill. ?",11
50,28.0,11.0,14.0,2.0,4.0,1.0,1062.0,,RCD Espanyol Barcelona,30.0,Argentina,"6,00 Mill. ",42.0,80.0,82.0,75.0,56.0,79.0,71.0,High / Medium,50.0,12.5,10.0,0.33,236.0,2355.0,Pablo Piatti,Left Wing,"6,00 Mill. ?",175
51,30.0,1.0,13.0,1.0,4.0,0.0,1075.0,,RCD Espanyol Barcelona,26.0,Spain,"4,00 Mill. ",79.0,72.0,64.0,79.0,68.0,78.0,62.0,Medium / Medium,33.0,4.5,1.0,0.04,2.281,2281.0,Víctor Sánchez,Central Midfield,"4,00 Mill. ?",131
52,25.0,6.0,16.0,3.0,0.0,3.0,1333.0,,RCD Espanyol Barcelona,21.0,Brazil,"4,00 Mill. ",28.0,79.0,79.0,69.0,64.0,80.0,77.0,Medium / Medium,58.0,7.5,6.0,0.29,238.0,1427.0,Leo Baptistão,Centre-Forward,"4,00 Mill. ?",0
53,31.0,4.0,13.0,2.0,4.0,0.0,1039.0,,RCD Espanyol Barcelona,31.0,Spain,"2,50 Mill. ",29.0,81.0,70.0,80.0,56.0,79.0,76.0,Medium / Low,41.0,9.5,3.0,0.1,820.0,2459.0,José Manuel Jurado,Attacking Midfield,"2,50 Mill. ?",0
54,30.0,1.0,1.0,1.0,0.0,0.0,328.0,,RCD Espanyol Barcelona,19.0,Spain,"1,50 Mill. ",65.0,77.0,57.0,82.0,63.0,78.0,72.0,Medium / Medium,12.0,2.5,0.0,0,,690.0,Esteban Granero,Central Midfield,"2,00 Mill. ?",191
55,28.0,0.0,1.0,0.0,0.0,0.0,140.0,,RCD Espanyol Barcelona,32.0,Paraguay,"1,50 Mill. ",29.0,80.0,82.0,73.0,72.0,79.0,74.0,High / Medium,4.0,2.2,3.0,0.09,597.0,1792.0,Hernán Pérez,Right Wing,"3,00 Mill. ?",4
56,36.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,RCD Espanyol Barcelona,35.0,Spain,"1,00 Mill. ",34.0,80.0,77.0,76.0,83.0,83.0,84.0,No,0.0,2.0,0.0,0,,3113.0,Diego López,Keeper,"1,00 Mill. ?",5
57,22.0,2.0,1.0,0.0,2.0,0.0,170.0,,RCD Espanyol Barcelona,12.0,Spain,"1,00 Mill. ",70.0,63.0,68.0,67.0,68.0,71.0,56.0,High / Medium,12.0,2.0,2.0,0.17,395.0,789.0,Marc Navarro,Right-Back,"1,00 Mill. ?",39
58,33.0,0.0,16.0,0.0,6.0,0.0,1300.0,,RCD Espanyol Barcelona,31.0,Spain,"1,00 Mill. ",78.0,68.0,56.0,72.0,78.0,80.0,60.0,Medium / High,38.0,6.0,1.0,0.03,2.5660000000000003,2566.0,Javi Fuego,Defensive Midfield,"1,50 Mill. ?",48
59,20.0,0.0,0.0,0.0,0.0,0.0,126.0,,RCD Espanyol Barcelona,11.0,Spain,600 Th. ,49.0,71.0,66.0,65.0,60.0,70.0,62.0,Medium / Medium,6.0,2.0,0.0,0,,297.0,Oscar Melendo,Attacking Midfield,500 Th. ?,0
60,26.0,4.0,10.0,1.0,0.0,1.0,876.0,,Real Sociedad,34.0,Spain,"25,00 Mill. ",82.0,62.0,71.0,63.0,79.0,82.0,56.0,Medium / Medium,32.0,7.5,3.0,0.09,1.0,2999.0,Iñigo Martínez,Centre-Back,"20,00 Mill. ?",294
61,20.0,8.0,13.0,3.0,0.0,6.0,1146.0,,Real Sociedad,38.0,Spain,"30,00 Mill. ",33.0,79.0,73.0,76.0,57.0,79.0,73.0,High / Medium,62.0,13.2,2.0,0.05,1.361,2722.0,Mikel Oyarzabal,Left Wing,"15,00 Mill. ?",160
62,22.0,5.0,16.0,4.0,2.0,0.0,1463.0,,Real Sociedad,15.0,Spain,"20,00 Mill. ",78.0,67.0,86.0,70.0,67.0,80.0,50.0,High / Medium,50.0,6.5,0.0,0,,1286.0,Álvaro Odriozola,Right-Back,"10,00 Mill. ?",167
63,27.0,3.0,16.0,3.0,2.0,3.0,1440.0,,Real Sociedad,34.0,Spain,"15,00 Mill. ",77.0,78.0,60.0,77.0,70.0,81.0,66.0,Medium / High,58.0,9.5,1.0,0.03,3.004,3004.0,Asier Illarramendi,Defensive Midfield,"15,00 Mill. ?",404
64,24.0,0.0,12.0,0.0,1.0,2.0,1070.0,,Real Sociedad,25.0,Spain,"12,00 Mill. ",84.0,68.0,65.0,68.0,76.0,82.0,44.0,Medium / Medium,32.0,3.5,2.0,0.08,1.015,2029.0,Diego Llorente,Centre-Back,"7,50 Mill. ?",316
65,26.0,4.0,17.0,1.0,0.0,5.0,1428.0,,Real Sociedad,28.0,Brazil,"12,00 Mill. ",36.0,76.0,66.0,66.0,76.0,82.0,82.0,Medium / Low,67.0,12.5,12.0,0.43,173.0,2080.0,Willian José,Centre-Forward,"12,00 Mill. ?",245
66,25.0,0.0,17.0,0.0,2.0,0.0,1530.0,10.0,Real Sociedad,38.0,Argentina,"10,00 Mill. ",54.0,86.0,85.0,75.0,82.0,83.0,79.0,No,37.0,9.5,0.0,0,,3420.0,Gerónimo Rulli,Keeper,"14,00 Mill. ?",359
67,22.0,3.0,8.0,3.0,0.0,2.0,669.0,,Real Sociedad,31.0,Belgium,"10,00 Mill. ",21.0,81.0,79.0,75.0,50.0,77.0,66.0,Medium / Low,38.0,3.5,0.0,0,,1630.0,Adnan Januzaj,Right Wing,"8,50 Mill. ?","1,251"
68,24.0,1.0,6.0,0.0,0.0,3.0,507.0,,Real Sociedad,35.0,Spain,"7,50 Mill. ",30.0,77.0,77.0,67.0,54.0,75.0,73.0,Medium / Medium,33.0,9.6,11.0,0.31,166.0,1831.0,Juanmi,Right Wing,"10,00 Mill. ?",3
69,22.0,0.0,0.0,0.0,0.0,0.0,63.0,,Real Sociedad,12.0,Spain,"3,00 Mill. ",23.0,67.0,62.0,54.0,48.0,70.0,75.0,Medium / Medium,4.0,2.0,3.0,0.25,101.0,304.0,Jon Bautista,Centre-Forward,"5,00 Mill. ?",36
70,34.0,5.0,17.0,3.0,2.0,2.0,1411.0,,Real Sociedad,38.0,Spain,"3,00 Mill. ",46.0,75.0,48.0,84.0,58.0,79.0,75.0,Medium / Medium,60.0,15.8,8.0,0.21,353.0,2824.0,Xabi Prieto,Central Midfield,"3,00 Mill. ?",143
71,31.0,1.0,13.0,0.0,1.0,0.0,1086.0,,Real Sociedad,31.0,Spain,"3,00 Mill. ",71.0,77.0,68.0,76.0,72.0,79.0,72.0,Medium / Medium,31.0,5.5,3.0,0.1,835.0,2504.0,David Zurutuza,Central Midfield,"3,00 Mill. ?",51
72,26.0,4.0,5.0,0.0,0.0,0.0,504.0,,Real Sociedad,31.0,Spain,"4,00 Mill. ",30.0,83.0,67.0,85.0,55.0,82.0,77.0,High / Medium,23.0,4.5,0.0,0,,989.0,Sergio Canales,Attacking Midfield,"3,00 Mill. ?",158
73,23.0,0.0,12.0,2.0,2.0,1.0,1092.0,,Real Sociedad,2.0,Portugal,"3,00 Mill. ",68.0,60.0,74.0,64.0,52.0,70.0,44.0,Medium / Medium,41.0,4.5,0.0,0,,103.0,Kévin Rodrigues,Left-Back,"1,00 Mill. ?",103
74,25.0,0.0,0.0,0.0,0.0,0.0,21.0,,Real Sociedad,16.0,Spain,"3,00 Mill. ",61.0,78.0,67.0,78.0,60.0,79.0,68.0,Medium / Medium,2.0,2.0,1.0,0.06,1.272,1272.0,Rubén Pardo,Central Midfield,"4,00 Mill. ?",4
75,29.0,1.0,5.0,1.0,1.0,0.0,442.0,,Real Sociedad,32.0,Spain,"3,00 Mill. ",79.0,48.0,53.0,59.0,70.0,78.0,45.0,Medium / Medium,16.0,2.5,1.0,0.03,2.798,2798.0,Raúl Navas,Centre-Back,"5,00 Mill. ?",10
76,23.0,0.0,17.0,0.0,7.0,0.0,1530.0,,Athletic Bilbao,33.0,France,"25,00 Mill. ",86.0,62.0,69.0,66.0,78.0,84.0,50.0,Medium / Medium,51.0,10.5,2.0,0.06,1.433,2865.0,Aymeric Laporte,Centre-Back,"25,00 Mill. ?",507
77,23.0,7.0,14.0,3.0,0.0,3.0,1283.0,,Athletic Bilbao,38.0,Spain,"25,00 Mill. ",34.0,79.0,93.0,73.0,79.0,81.0,78.0,High / High,57.0,16.0,5.0,0.13,560.0,2800.0,Iñaki Williams,Right Wing,"25,00 Mill. ?",669
78,23.0,0.0,14.0,0.0,4.0,0.0,1260.0,8.0,Athletic Bilbao,23.0,Spain,"20,00 Mill. ",34.0,81.0,78.0,75.0,76.0,79.0,81.0,No,40.0,3.5,0.0,0,,2016.0,Kepa Arrizabalaga,Keeper,"8,00 Mill. ?",397
79,28.0,1.0,12.0,0.0,6.0,0.0,1027.0,,Athletic Bilbao,35.0,Spain,"9,00 Mill. ",79.0,70.0,43.0,70.0,78.0,80.0,70.0,Medium / Medium,32.0,9.4,4.0,0.11,666.0,2665.0,Mikel San José,Defensive Midfield,"12,00 Mill. ?",0
80,31.0,4.0,15.0,1.0,8.0,3.0,1317.0,,Athletic Bilbao,36.0,Spain,"9,00 Mill. ",66.0,77.0,57.0,82.0,76.0,81.0,76.0,High / Medium,65.0,16.8,10.0,0.28,288.0,2884.0,Raúl García,Attacking Midfield,"12,00 Mill. ?",5
81,25.0,3.0,4.0,2.0,0.0,1.0,405.0,,Athletic Bilbao,35.0,Spain,"9,00 Mill. ",43.0,82.0,81.0,72.0,49.0,78.0,70.0,High / Medium,21.0,4.0,7.0,0.2,345.0,2413.0,Iker Muniain,Left Wing,"15,00 Mill. ?",276
82,24.0,1.0,10.0,0.0,5.0,0.0,1025.0,,Athletic Bilbao,25.0,Spain,"7,50 Mill. ",67.0,75.0,73.0,74.0,73.0,75.0,64.0,Medium / High,41.0,5.5,2.0,0.08,786.0,1571.0,Iñigo Lekue,Right-Back,"4,00 Mill. ?",51
83,30.0,2.0,12.0,2.0,6.0,1.0,1092.0,,Athletic Bilbao,26.0,Spain,"7,50 Mill. ",28.0,78.0,74.0,82.0,64.0,78.0,71.0,High / Medium,48.0,6.5,1.0,0.04,1.102,1102.0,Markel Susaeta,Right Wing,"7,50 Mill. ?",104
84,22.0,1.0,0.0,0.0,0.0,0.0,0.0,,Athletic Bilbao,26.0,Spain,"7,50 Mill. ",77.0,63.0,68.0,57.0,75.0,78.0,49.0,Medium / High,0.0,2.0,0.0,0,,2270.0,Yeray Álvarez,Centre-Back,"15,00 Mill. ?",164
85,28.0,4.0,7.0,0.0,4.0,0.0,471.0,,Athletic Bilbao,27.0,Spain,"6,00 Mill. ",74.0,78.0,86.0,73.0,79.0,81.0,62.0,High / Medium,28.0,3.5,1.0,0.04,2.149,2149.0,Óscar de Marcos,Right-Back,"8,00 Mill. ?",86
86,24.0,1.0,8.0,1.0,2.0,1.0,630.0,,Athletic Bilbao,17.0,Spain,"6,00 Mill. ",67.0,63.0,57.0,66.0,75.0,71.0,57.0,Medium / Medium,23.0,2.0,1.0,0.06,1.409,1409.0,Mikel Vesga,Defensive Midfield,"6,00 Mill. ?",37
87,30.0,5.0,2.0,0.0,2.0,0.0,248.0,,Athletic Bilbao,32.0,Spain,"5,00 Mill. ",66.0,75.0,58.0,84.0,74.0,82.0,75.0,Medium / Medium,12.0,2.6,1.0,0.03,2.442,2442.0,Beñat Etxebarria,Central Midfield,"8,00 Mill. ?",108
88,28.0,1.0,9.0,0.0,2.0,0.0,843.0,,Athletic Bilbao,24.0,Spain,"5,00 Mill. ",79.0,70.0,59.0,77.0,72.0,81.0,63.0,High / Medium,23.0,3.0,0.0,0,,1152.0,Ander Iturraspe,Defensive Midfield,"5,00 Mill. ?",82
89,29.0,1.0,12.0,2.0,5.0,0.0,1058.0,,Athletic Bilbao,33.0,Spain,"5,00 Mill. ",78.0,71.0,75.0,71.0,77.0,79.0,49.0,High / Medium,44.0,8.1,1.0,0.03,2.8510000000000004,2851.0,Mikel Balenziaga,Left-Back,"5,00 Mill. ?",47
90,29.0,0.0,4.0,0.0,4.0,0.0,360.0,7.0,Athletic Bilbao,21.0,Spain,"3,00 Mill. ",45.0,73.0,76.0,66.0,75.0,76.0,83.0,No,27.0,3.5,0.0,0,,1827.0,Iago Herrerín,Keeper,"3,00 Mill. ?",56
