Age,Assists,C_Apps,C_Assists,C_Clean_Sheets,C_Goals,C_Mins,Clean Sheets,Club,Club_Appearances,Country,Current_Value,F_Def,F_Drib,F_Pace,F_Passing,F_Phy,F_Rating,F_Shooting,F_WRate,FantasyLeaguePoints,FantasyLeagueVal,Goals,Goals_per_game,Mins_per_goal,Minutes_played_club,Name,Position,Previous_Value,Wiki_Views
29,8,1,0,0,1,90,,Atlético Madrid,35,Spain,"50,00 Mill. ",40,76,75,65,88,86,83,High / Medium,4,2,20,0.57,155,3090,Diego Costa,Centre-Forward,"50,00 Mill. ?","4,441"
25,4,18,0,0,6,1620,,RCD Espanyol Barcelona,37,Spain,"12,00 Mill. ",45,76,66,65,63,78,77,High / Medium,67,16.1,13,0.35,252,3280,Gerard Moreno,Centre-Forward,"8,00 Mill. ?",3
24,2,16,0,6,1,1407,,RCD Espanyol Barcelona,23,Spain,"11,00 Mill. ",64,79,55,76,66,78,63,Medium / Low,46,7,1,0.043,1412,1412,Sergi Darder,Central Midfield,"11,00 Mill. ?",121
28,2,18,0,6,0,1620,,RCD Espanyol Barcelona,36,Spain,"6,50 Mill. ",77,67,60,66,81,78,66,High / High,42,14.3,3,0.08,1.08,3240,David López,Centre-Back,"6,50 Mill. ?",11
28,11,14,2,4,1,1062,,RCD Espanyol Barcelona,30,Argentina,"6,00 Mill. ",42,80,82,75,56,79,71,High / Medium,50,12.5,10,0.33,236,2355,Pablo Piatti,Left Wing,"6,00 Mill. ?",175
30,1,13,1,4,0,1075,,RCD Espanyol Barcelona,26,Spain,"4,00 Mill. ",79,72,64,79,68,78,62,Medium / Medium,33,4.5,1,0.04,2.281,2281,Víctor Sánchez,Central Midfield,"4,00 Mill. ?",131
25,6,16,3,0,3,1333,,RCD Espanyol Barcelona,21,Brazil,"4,00 Mill. ",28,79,79,69,64,80,77,Medium / Medium,58,7.5,6,0.29,238,1427,Leo Baptistão,Centre-Forward,"4,00 Mill. ?",0
31,4,13,2,4,0,1039,,RCD Espanyol Barcelona,31,Spain,"2,50 Mill. ",29,81,70,80,56,79,76,Medium / Low,41,9.5,3,0.1,820,2459,José Manuel Jurado,Attacking Midfield,"2,50 Mill. ?",0
30,1,1,1,0,0,328,,RCD Espanyol Barcelona,19,Spain,"1,50 Mill. ",65,77,57,82,63,78,72,Medium / Medium,12,2.5,0,0,,690,Esteban Granero,Central Midfield,"2,00 Mill. ?",191
28,0,1,0,0,0,140,,RCD Espanyol Barcelona,32,Paraguay,"1,50 Mill. ",29,80,82,73,72,79,74,High / Medium,4,2.2,3,0.09,597,1792,Hernán Pérez,Right Wing,"3,00 Mill. ?",4
36,0,0,0,0,0,0,11,RCD Espanyol Barcelona,35,Spain,"1,00 Mill. ",34,80,77,76,83,83,84,No,0,2,0,0,,3113,Diego López,Keeper,"1,00 Mill. ?",5
22,2,1,0,2,0,170,,RCD Espanyol Barcelona,12,Spain,"1,00 Mill. ",70,63,68,67,68,71,56,High / Medium,12,2,2,0.17,395,789,Marc Navarro,Right-Back,"1,00 Mill. ?",39
