Name,Position,Country,Age,Club,Current_Value,Previous_Value,Club_Appearances,Assists,Minutes_played_club,Mins_per_goal,Goals_per_game,Goals,Clean Sheets,URL,F_Rating,F_Pace,F_Shooting,F_Passing,F_Drib,F_Def,F_Phy,F_WRate
Iñigo Martínez,Centre-Back,Spain,26,Real Sociedad,"25,00 Mill. ","20,00 Mill. ",34,4,2999,1,0.09,3,,http://www.futhead.com/18/players/?name=Iñigo Martínez&sort=vote_sum&bin_platform=ps,82,71,56,63,62,82,79,Medium / Medium
Cédric Bakambu,Centre-Forward,DR Congo,26,Villarreal CF,"25,00 Mill. ","16,00 Mill. ",26,2,1567,157,0.38,10,,http://www.futhead.com/18/players/?name=Cédric Bakambu&sort=vote_sum&bin_platform=ps,84,90,83,78,84,40,79,Medium / Medium
Sergi Roberto,Central Midfield,Spain,25,FC Barcelona,"40,00 Mill. ","25,00 Mill. ",32,6,2381,,0,0,,http://www.futhead.com/18/players/?name=Sergi Roberto&sort=vote_sum&bin_platform=ps,81,77,64,80,75,79,72,Medium / Medium
Marcelo,Left-Back,Brazil,29,Real Madrid,"40,00 Mill. ","38,00 Mill. ",30,10,2277,1.139,0.07,2,,http://www.futhead.com/18/players/?name=Marcelo&sort=vote_sum&bin_platform=ps,87,78,69,80,85,82,79,High / Medium
Raphaël Varane,Centre-Back,France,24,Real Madrid,"40,00 Mill. ","35,00 Mill. ",23,2,1927,1.927,0.04,1,,http://www.futhead.com/18/players/?name=Raphaël Varane&sort=vote_sum&bin_platform=ps,85,79,45,61,65,84,79,Medium / High
Marc-André ter Stegen,Keeper,Germany,25,FC Barcelona,"40,00 Mill. ","25,00 Mill. ",36,0,3240,,0,0,13,http://www.futhead.com/18/players/?name=Marc-André ter Stegen&sort=vote_sum&bin_platform=ps,85,84,83,87,86,38,81,No
José Giménez,Centre-Back,Uruguay,22,Atlético Madrid,"35,00 Mill. ","28,00 Mill. ",17,0,1011,,0,0,,http://www.futhead.com/18/players/?name=José Giménez&sort=vote_sum&bin_platform=ps,83,70,45,51,54,85,81,Medium / High
Nélson Semedo,Right-Back,Portugal,24,FC Barcelona,"30,00 Mill. ","20,00 Mill. ",31,8,2781,2782,0.03,1,,http://www.futhead.com/18/players/?name=Nélson Semedo&sort=vote_sum&bin_platform=ps,81,92,57,68,80,76,71,High / Medium
Mikel Oyarzabal,Left Wing,Spain,20,Real Sociedad,"30,00 Mill. ","15,00 Mill. ",38,8,2722,1.361,0.05,2,,http://www.futhead.com/18/players/?name=Mikel Oyarzabal&sort=vote_sum&bin_platform=ps,79,73,73,76,79,33,57,High / Medium
Aymeric Laporte,Centre-Back,France,23,Athletic Bilbao,"25,00 Mill. ","25,00 Mill. ",33,0,2865,1.433,0.06,2,,http://www.futhead.com/18/players/?name=Aymeric Laporte&sort=vote_sum&bin_platform=ps,84,69,50,66,62,86,78,Medium / Medium
Mateo Kovacic,Central Midfield,Croatia,23,Real Madrid,"25,00 Mill. ","25,00 Mill. ",27,3,1688,1.688,0.04,1,,http://www.futhead.com/18/players/?name=Mateo Kovacic&sort=vote_sum&bin_platform=ps,82,81,69,82,84,61,69,High / Medium
Rodrigo,Centre-Forward,Spain,26,Valencia CF,"25,00 Mill. ","7,50 Mill. ",19,4,1419,284,0.26,5,,http://www.futhead.com/18/players/?name=Rodrigo&sort=vote_sum&bin_platform=ps,78,91,75,70,78,32,68,High / Medium
Wissam Ben Yedder,Centre-Forward,France,27,Sevilla FC,"25,00 Mill. ","15,00 Mill. ",31,5,1668,152,0.35,11,,http://www.futhead.com/18/players/?name=Wissam Ben Yedder&sort=vote_sum&bin_platform=ps,84,85,85,80,88,37,70,High / High
José Gayá,Left-Back,Spain,22,Valencia CF,"25,00 Mill. ","18,00 Mill. ",27,3,2089,2.089,0.04,1,,http://www.futhead.com/18/players/?name=José Gayá&sort=vote_sum&bin_platform=ps,79,86,58,75,77,75,68,High / Medium
Iñaki Williams,Right Wing,Spain,23,Athletic Bilbao,"25,00 Mill. ","25,00 Mill. ",38,7,2800,560,0.13,5,,http://www.futhead.com/18/players/?name=Iñaki Williams&sort=vote_sum&bin_platform=ps,81,93,78,73,79,34,79,High / High
Sime Vrsaljko,Right-Back,Croatia,25,Atlético Madrid,"20,00 Mill. ","16,00 Mill. ",14,0,922,,0,0,,http://www.futhead.com/18/players/?name=Sime Vrsaljko&sort=vote_sum&bin_platform=ps,84,86,63,83,82,84,83,High / Medium
Rodrigo Hernández,Defensive Midfield,Spain,21,Villarreal CF,"20,00 Mill. ","2,50 Mill. ",23,1,834,,0,0,,http://www.futhead.com/18/players/?name=Rodrigo Hernández&sort=vote_sum&bin_platform=ps,70,52,58,65,64,67,60,Medium / High
Ángel Correa,Secondary Striker,Argentina,22,Atlético Madrid,"20,00 Mill. ","18,00 Mill. ",31,8,1211,303,0.13,4,,http://www.futhead.com/18/players/?name=Ángel Correa&sort=vote_sum&bin_platform=ps,79,82,80,65,85,49,57,Medium / Low
Kévin Gameiro,Centre-Forward,France,30,Atlético Madrid,"20,00 Mill. ","24,00 Mill. ",31,5,1717,143,0.39,12,,http://www.futhead.com/18/players/?name=Kévin Gameiro&sort=vote_sum&bin_platform=ps,83,87,83,75,79,35,68,Medium / Medium
Álvaro Odriozola,Right-Back,Spain,22,Real Sociedad,"20,00 Mill. ","10,00 Mill. ",15,5,1286,,0,0,,http://www.futhead.com/18/players/?name=Álvaro Odriozola&sort=vote_sum&bin_platform=ps,80,86,50,70,67,78,67,High / Medium
Nacho Fernández,Centre-Back,Spain,27,Real Madrid,"20,00 Mill. ","15,00 Mill. ",28,3,2301,1.151,0.07,2,,http://www.futhead.com/18/players/?name=Nacho Fernández&sort=vote_sum&bin_platform=ps,81,76,37,65,64,81,78,Medium / Medium
Paco Alcácer,Centre-Forward,Spain,24,FC Barcelona,"18,00 Mill. ","18,00 Mill. ",20,3,847,141,0.3,6,,http://www.futhead.com/18/players/?name=Paco Alcácer&sort=vote_sum&bin_platform=ps,82,77,83,70,80,34,67,High / Medium
Pablo Sarabia,Left Wing,Spain,25,Sevilla FC,"18,00 Mill. ","15,00 Mill. ",34,9,2131,266,0.24,8,,http://www.futhead.com/18/players/?name=Pablo Sarabia&sort=vote_sum&bin_platform=ps,83,80,80,85,85,35,58,High / Medium
Dani Parejo,Central Midfield,Spain,28,Valencia CF,"18,00 Mill. ","15,00 Mill. ",36,9,3195,639,0.14,5,,http://www.futhead.com/18/players/?name=Dani Parejo&sort=vote_sum&bin_platform=ps,82,52,77,87,77,61,71,Medium / Medium
Dani Ceballos,Central Midfield,Spain,21,Real Madrid,"17,00 Mill. ","17,00 Mill. ",30,2,2335,1.168,0.07,2,,http://www.futhead.com/18/players/?name=Dani Ceballos&sort=vote_sum&bin_platform=ps,78,68,61,76,80,70,64,Medium / Medium
Lucas Digne,Left-Back,France,24,FC Barcelona,"16,00 Mill. ","16,00 Mill. ",17,0,1175,,0,0,,http://www.futhead.com/18/players/?name=Lucas Digne&sort=vote_sum&bin_platform=ps,79,80,61,75,75,75,75,High / Medium
Nico Gaitán,Left Wing,Argentina,29,Atlético Madrid,"15,00 Mill. ","20,00 Mill. ",23,3,1019,340,0.13,3,,http://www.futhead.com/18/players/?name=Nico Gaitán&sort=vote_sum&bin_platform=ps,83,81,74,81,84,39,55,High / Medium
André Gomes,Central Midfield,Portugal,24,FC Barcelona,"22,00 Mill. ","25,00 Mill. ",30,2,1592,531,0.1,3,,http://www.futhead.com/18/players/?name=André Gomes&sort=vote_sum&bin_platform=ps,82,68,71,78,78,71,81,Medium / Medium
Kepa Arrizabalaga,Keeper,Spain,23,Athletic Bilbao,"20,00 Mill. ","8,00 Mill. ",23,0,2016,,0,0,8,http://www.futhead.com/18/players/?name=Kepa Arrizabalaga&sort=vote_sum&bin_platform=ps,79,78,81,75,81,34,76,No
Andrés Iniesta,Central Midfield,Spain,33,FC Barcelona,"20,00 Mill. ","20,00 Mill. ",23,3,1329,,0,0,,http://www.futhead.com/18/players/?name=Andrés Iniesta&sort=vote_sum&bin_platform=ps,87,71,70,87,90,58,58,High / Medium
Theo Hernández,Left-Back,France,20,Real Madrid,"20,00 Mill. ","20,00 Mill. ",32,4,2726,2.726,0.03,1,,http://www.futhead.com/18/players/?name=Theo Hernández&sort=vote_sum&bin_platform=ps,75,84,56,63,74,72,76,Medium / Medium
Sergio Rico,Keeper,Spain,24,Sevilla FC,"20,00 Mill. ","20,00 Mill. ",35,0,3150,,0,0,12,http://www.futhead.com/18/players/?name=Sergio Rico&sort=vote_sum&bin_platform=ps,81,80,79,78,83,50,81,No
Lucas Hernández,Centre-Back,France,21,Atlético Madrid,"20,00 Mill. ","15,00 Mill. ",15,0,1253,,0,0,,http://www.futhead.com/18/players/?name=Lucas Hernández&sort=vote_sum&bin_platform=ps,76,65,42,53,57,76,70,Medium / High
Iago Aspas,Right Wing,Spain,30,Celta de Vigo,"18,00 Mill. ","18,00 Mill. ",32,4,2318,122,0.59,19,,http://www.futhead.com/18/players/?name=Iago Aspas&sort=vote_sum&bin_platform=ps,86,84,88,80,89,33,69,High / High
Denis Suárez,Central Midfield,Spain,23,FC Barcelona,"18,00 Mill. ","18,00 Mill. ",26,4,1182,1.182,0.04,1,,http://www.futhead.com/18/players/?name=Denis Suárez&sort=vote_sum&bin_platform=ps,80,79,74,81,83,51,58,Medium / Medium
Filipe Luís,Left-Back,Brazil,32,Atlético Madrid,"18,00 Mill. ","18,00 Mill. ",34,6,3009,1.003,0.09,3,,http://www.futhead.com/18/players/?name=Filipe Luís&sort=vote_sum&bin_platform=ps,85,79,62,77,78,82,79,High / Medium
Keylor Navas,Keeper,Costa Rica,31,Real Madrid,"18,00 Mill. ","18,00 Mill. ",27,0,2430,,0,0,5,http://www.futhead.com/18/players/?name=Keylor Navas&sort=vote_sum&bin_platform=ps,85,87,82,72,85,54,80,No
Mario Gaspar,Right-Back,Spain,27,Villarreal CF,"16,00 Mill. ","16,00 Mill. ",36,3,3240,,0,0,,http://www.futhead.com/18/players/?name=Mario Gaspar&sort=vote_sum&bin_platform=ps,81,81,70,70,73,80,81,High / Medium
Rafinha,Central Midfield,Brazil,24,FC Barcelona,"15,00 Mill. ","15,00 Mill. ",18,2,1074,179,0.33,6,,http://www.futhead.com/18/players/?name=Rafinha&sort=vote_sum&bin_platform=ps,81,74,76,79,84,62,64,Medium / Medium
Ezequiel Garay,Centre-Back,Argentina,31,Valencia CF,"15,00 Mill. ","15,00 Mill. ",27,0,2340,780,0.11,3,,http://www.futhead.com/18/players/?name=Ezequiel Garay&sort=vote_sum&bin_platform=ps,83,43,64,66,65,84,80,Medium / Medium
Pione Sisto,Left Wing,Denmark,22,Celta de Vigo,"15,00 Mill. ","5,00 Mill. ",30,4,1664,555,0.1,3,,http://www.futhead.com/18/players/?name=Pione Sisto&sort=vote_sum&bin_platform=ps,74,84,72,64,79,52,66,High / Medium
Clément Lenglet,Centre-Back,France,22,Sevilla FC,"15,00 Mill. ","7,50 Mill. ",17,0,1375,,0,0,,http://www.futhead.com/18/players/?name=Clément Lenglet&sort=vote_sum&bin_platform=ps,78,73,33,52,56,78,75,Medium / High
Luis Muriel,Centre-Forward,Colombia,26,Sevilla FC,"15,00 Mill. ","20,00 Mill. ",31,9,2258,205,0.35,11,,http://www.futhead.com/18/players/?name=Luis Muriel&sort=vote_sum&bin_platform=ps,80,89,77,68,84,24,72,High / Low
Asier Illarramendi,Defensive Midfield,Spain,27,Real Sociedad,"15,00 Mill. ","15,00 Mill. ",34,3,3004,3.004,0.03,1,,http://www.futhead.com/18/players/?name=Asier Illarramendi&sort=vote_sum&bin_platform=ps,81,60,66,77,78,77,70,Medium / High
Martín Montoya,Right-Back,Spain,26,Valencia CF,"15,00 Mill. ","10,00 Mill. ",29,1,2220,1.11,0.07,2,,http://www.futhead.com/18/players/?name=Martín Montoya&sort=vote_sum&bin_platform=ps,77,83,50,69,72,75,71,High / Medium
Jesús Vallejo,Centre-Back,Spain,20,Real Madrid,"15,00 Mill. ","15,00 Mill. ",25,1,2055,2055,0.04,1,,http://www.futhead.com/18/players/?name=Jesús Vallejo&sort=vote_sum&bin_platform=ps,77,73,41,56,63,79,70,Low / High
Víctor Ruiz,Centre-Back,Spain,28,Villarreal CF,"14,00 Mill. ","14,00 Mill. ",28,1,2367,2.367,0.04,1,,http://www.futhead.com/18/players/?name=Víctor Ruiz&sort=vote_sum&bin_platform=ps,82,58,42,64,61,83,81,Medium / Medium
Nicola Sansone,Centre-Forward,Italy,26,Villarreal CF,"12,00 Mill. ","16,00 Mill. ",32,4,2131,266,0.25,8,,http://www.futhead.com/18/players/?name=Nicola Sansone&sort=vote_sum&bin_platform=ps,82,85,85,80,86,40,73,Medium / Medium
Diego Llorente,Centre-Back,Spain,24,Real Sociedad,"12,00 Mill. ","7,50 Mill. ",25,0,2029,1.015,0.08,2,,http://www.futhead.com/18/players/?name=Diego Llorente&sort=vote_sum&bin_platform=ps,82,65,44,68,68,84,76,Medium / Medium
Roberto Soriano,Left Midfield,Italy,26,Villarreal CF,"12,00 Mill. ","16,00 Mill. ",33,7,2467,247,0.3,10,,http://www.futhead.com/18/players/?name=Roberto Soriano&sort=vote_sum&bin_platform=ps,80,77,77,80,80,63,73,Medium / Medium
Franco Vázquez,Attacking Midfield,Italy,28,Sevilla FC,"12,00 Mill. ","18,00 Mill. ",30,2,2092,299,0.23,7,,http://www.futhead.com/18/players/?name=Franco Vázquez&sort=vote_sum&bin_platform=ps,82,64,77,79,84,43,75,Medium / High
Lucas Vázquez,Right Wing,Spain,26,Real Madrid,"15,00 Mill. ","15,00 Mill. ",33,9,1383,692,0.06,2,,http://www.futhead.com/18/players/?name=Lucas Vázquez&sort=vote_sum&bin_platform=ps,82,81,75,81,82,38,67,High / High
Guido Pizarro,Defensive Midfield,Argentina,27,Sevilla FC,"15,00 Mill. ","6,00 Mill. ",16,1,1350,,0,0,,http://www.futhead.com/18/players/?name=Guido Pizarro&sort=vote_sum&bin_platform=ps,78,60,62,71,70,74,84,Medium / High
Marcos Llorente,Defensive Midfield,Spain,22,Real Madrid,"15,00 Mill. ","15,00 Mill. ",32,2,2805,,0,0,,http://www.futhead.com/18/players/?name=Marcos Llorente&sort=vote_sum&bin_platform=ps,77,55,48,72,70,71,71,Medium / Medium
Pablo Fornals,Central Midfield,Spain,21,Villarreal CF,"15,00 Mill. ","12,00 Mill. ",32,3,2673,446,0.19,6,,http://www.futhead.com/18/players/?name=Pablo Fornals&sort=vote_sum&bin_platform=ps,77,61,66,76,75,69,65,Medium / Medium
Manu Trigueros,Central Midfield,Spain,26,Villarreal CF,"15,00 Mill. ","15,00 Mill. ",37,1,3042,608,0.14,5,,http://www.futhead.com/18/players/?name=Manu Trigueros&sort=vote_sum&bin_platform=ps,82,73,74,80,81,65,69,Medium / Medium
Gabriel Paulista,Centre-Back,Brazil,27,Valencia CF,"15,00 Mill. ","13,00 Mill. ",19,0,1515,,0,0,,http://www.futhead.com/18/players/?name=Gabriel Paulista&sort=vote_sum&bin_platform=ps,79,66,49,65,64,80,76,Low / High
Jeison Murillo,Centre-Back,Colombia,25,Valencia CF,"15,00 Mill. ","13,00 Mill. ",27,1,2075,,0,0,,http://www.futhead.com/18/players/?name=Jeison Murillo&sort=vote_sum&bin_platform=ps,79,75,40,56,64,80,77,Medium / High
Gerard Deulofeu,Right Wing,Spain,23,FC Barcelona,"14,00 Mill. ","12,00 Mill. ",17,3,1463,366,0.23,4,,http://www.futhead.com/18/players/?name=Gerard Deulofeu&sort=vote_sum&bin_platform=ps,82,93,70,75,87,26,61,High / Low
Carlos Bacca,Centre-Forward,Colombia,31,Villarreal CF,"12,00 Mill. ","18,00 Mill. ",32,5,2128,164,0.4,13,,http://www.futhead.com/18/players/?name=Carlos Bacca&sort=vote_sum&bin_platform=ps,82,77,79,64,79,24,70,Medium / Low
Maximiliano Gómez,Centre-Forward,Uruguay,21,Celta de Vigo,"12,00 Mill. ","4,00 Mill. ",12,3,980,98,0.83,10,,http://www.futhead.com/18/players/?name=Maximiliano Gómez&sort=vote_sum&bin_platform=ps,70,66,69,57,63,24,68,Medium / Medium
Éver Banega,Central Midfield,Argentina,29,Sevilla FC,"12,00 Mill. ","9,00 Mill. ",28,7,1560,260,0.21,6,,http://www.futhead.com/18/players/?name=Éver Banega&sort=vote_sum&bin_platform=ps,85,71,75,88,86,66,70,Medium / Medium
Willian José,Centre-Forward,Brazil,26,Real Sociedad,"12,00 Mill. ","12,00 Mill. ",28,4,2080,173,0.43,12,,http://www.futhead.com/18/players/?name=Willian José&sort=vote_sum&bin_platform=ps,82,66,82,66,76,36,76,Medium / Low
Gerard Moreno,Centre-Forward,Spain,25,RCD Espanyol Barcelona,"12,00 Mill. ","8,00 Mill. ",37,4,3280,252,0.35,13,,http://www.futhead.com/18/players/?name=Gerard Moreno&sort=vote_sum&bin_platform=ps,78,66,77,65,76,45,63,High / Medium
Lucas Pérez,Centre-Forward,Spain,29,Deportivo de La Coruña,"10,00 Mill. ","15,00 Mill. ",1,1,90,90,1,1,,http://www.futhead.com/18/players/?name=Lucas Pérez&sort=vote_sum&bin_platform=ps,81,81,82,76,80,31,71,High / Medium
Santi Mina,Centre-Forward,Spain,22,Valencia CF,"10,00 Mill. ","6,00 Mill. ",29,3,1403,234,0.21,6,,http://www.futhead.com/18/players/?name=Santi Mina&sort=vote_sum&bin_platform=ps,76,78,75,67,77,52,67,Medium / Medium
Gerónimo Rulli,Keeper,Argentina,25,Real Sociedad,"10,00 Mill. ","14,00 Mill. ",38,0,3420,,0,0,10,http://www.futhead.com/18/players/?name=Gerónimo Rulli&sort=vote_sum&bin_platform=ps,83,85,79,75,86,54,82,No
Adnan Januzaj,Right Wing,Belgium,22,Real Sociedad,"10,00 Mill. ","8,50 Mill. ",31,3,1630,,0,0,,http://www.futhead.com/18/players/?name=Adnan Januzaj&sort=vote_sum&bin_platform=ps,77,79,66,75,81,21,50,Medium / Low
Hugo Mallo,Right-Back,Spain,26,Celta de Vigo,"10,00 Mill. ","8,00 Mill. ",23,1,1988,994,0.09,2,,http://www.futhead.com/18/players/?name=Hugo Mallo&sort=vote_sum&bin_platform=ps,80,74,40,70,74,77,76,High / Medium
Jasper Cillessen,Keeper,Netherlands,28,FC Barcelona,"9,00 Mill. ","9,00 Mill. ",1,0,90,,0,0,0,http://www.futhead.com/18/players/?name=Jasper Cillessen&sort=vote_sum&bin_platform=ps,81,79,83,74,77,54,81,No
Mikel San José,Defensive Midfield,Spain,28,Athletic Bilbao,"9,00 Mill. ","12,00 Mill. ",35,1,2665,666,0.11,4,,http://www.futhead.com/18/players/?name=Mikel San José&sort=vote_sum&bin_platform=ps,80,43,70,70,70,79,78,Medium / Medium
Raúl García,Attacking Midfield,Spain,31,Athletic Bilbao,"9,00 Mill. ","12,00 Mill. ",36,4,2884,288,0.28,10,,http://www.futhead.com/18/players/?name=Raúl García&sort=vote_sum&bin_platform=ps,81,57,76,82,77,66,76,High / Medium
