,Name,Position,Country,Age,Club,Current_Value,Previous_Value
160,Dani García,Central Midfield,Spain,27,SD Eibar,"5,00 Mill. ","5,00 Mill. €"
161,Douglas Luiz,Central Midfield,Brazil,19,Girona FC,"5,00 Mill. ","6,00 Mill. €"
162,Borja Bastón,Centre-Forward,Spain,25,Málaga CF,"5,00 Mill. ","8,00 Mill. €"
163,Riza Durmisi,Left-Back,Denmark,23,Real Betis Balompié,"6,00 Mill. ","6,00 Mill. €"
164,Jesús Navas,Right Wing,Spain,32,Sevilla FC,"6,00 Mill. ","9,00 Mill. €"
165,Enes Ünal,Centre-Forward,Turkey,20,Villarreal CF,"6,00 Mill. ","14,00 Mill. €"
166,Cristian Tello,Left Wing,Spain,26,Real Betis Balompié,"6,00 Mill. ","8,00 Mill. €"
167,Diego Rolán,Centre-Forward,Uruguay,24,Málaga CF,"6,00 Mill. ","8,00 Mill. €"
168,Víctor Camarasa,Central Midfield,Spain,23,Real Betis Balompié,"6,00 Mill. ","7,00 Mill. €"
169,Celso Borges,Central Midfield,Costa Rica,29,Deportivo de La Coruña,"5,00 Mill. ","5,00 Mill. €"
170,Ander Iturraspe,Defensive Midfield,Spain,28,Athletic Bilbao,"5,00 Mill. ","5,00 Mill. €"
171,Andrés Guardado,Defensive Midfield,Mexico,31,Real Betis Balompié,"5,00 Mill. ","6,00 Mill. €"
172,Pablo Hernández,Central Midfield,Chile,31,Celta de Vigo,"5,00 Mill. ","6,00 Mill. €"
173,Juanfran,Right-Back,Spain,29,Deportivo de La Coruña,"5,00 Mill. ","5,00 Mill. €"
174,Sergi Enrich,Centre-Forward,Spain,27,SD Eibar,"5,00 Mill. ","10,00 Mill. €"
175,Rubén Pérez,Defensive Midfield,Spain,28,CD Leganés,"5,00 Mill. ","2,50 Mill. €"
176,Nemanja Radoja,Defensive Midfield,Serbia,24,Celta de Vigo,"5,00 Mill. ","8,00 Mill. €"
177,Iñigo Córdoba,Left Wing,Spain,20,Athletic Bilbao,"5,00 Mill. ",300 Th. €
178,Sergio León,Centre-Forward,Spain,28,Real Betis Balompié,"5,00 Mill. ","3,50 Mill. €"
179,Ander Capa,Right-Back,Spain,25,SD Eibar,"5,00 Mill. ","5,00 Mill. €"
180,Gabriel,Attacking Midfield,Brazil,24,CD Leganés,"5,00 Mill. ","4,00 Mill. €"
181,Cristhian Stuani,Centre-Forward,Uruguay,31,Girona FC,"5,00 Mill. ","3,50 Mill. €"
182,Pere Pons,Defensive Midfield,Spain,24,Girona FC,"5,00 Mill. ","2,50 Mill. €"
183,John Guidetti,Centre-Forward,Sweden,25,Celta de Vigo,"5,00 Mill. ","8,00 Mill. €"
184,Víctor Sánchez,Central Midfield,Spain,30,RCD Espanyol Barcelona,"4,00 Mill. ","4,00 Mill. €"
185,Marc Muniesa,Centre-Back,Spain,25,Girona FC,"4,00 Mill. ","3,00 Mill. €"
186,Guilherme,Defensive Midfield,Brazil,26,Deportivo de La Coruña,"4,00 Mill. ","4,00 Mill. €"
187,Alexander Szymanowski,Left Wing,Argentina,29,CD Leganés,"4,00 Mill. ","5,00 Mill. €"
188,Enis Bardhi,Attacking Midfield,Macedonia,22,Levante UD,"5,00 Mill. ","1,50 Mill. €"
189,Mikel Balenziaga,Left-Back,Spain,29,Athletic Bilbao,"5,00 Mill. ","5,00 Mill. €"
190,Fernando Pacheco,Keeper,Spain,25,Deportivo Alavés,"5,00 Mill. ","5,00 Mill. €"
191,Jonathan Calleri,Centre-Forward,Argentina,24,UD Las Palmas,"5,00 Mill. ","5,00 Mill. €"
192,Thomas Vermaelen,Centre-Back,Belgium,32,FC Barcelona,"5,00 Mill. ","3,00 Mill. €"
193,Pablo Maffeo,Right-Back,Spain,20,Girona FC,"5,00 Mill. ",500 Th. €
194,Achraf Hakimi,Right-Back,Morocco,19,Real Madrid,"5,00 Mill. ",300 Th. €
195,Gabriel Mercado,Right-Back,Argentina,30,Sevilla FC,"5,00 Mill. ","5,00 Mill. €"
196,Rúben Vezo,Centre-Back,Portugal,23,Valencia CF,"4,00 Mill. ","1,50 Mill. €"
197,Fernando Torres,Centre-Forward,Spain,33,Atlético Madrid,"4,00 Mill. ","4,00 Mill. €"
198,Vitorino Antunes,Left-Back,Portugal,30,Getafe CF,"4,00 Mill. ","4,00 Mill. €"
199,Augusto Fernández,Central Midfield,Argentina,31,Atlético Madrid,"4,00 Mill. ","4,00 Mill. €"
200,Florin Andone,Centre-Forward,Romania,24,Deportivo de La Coruña,"4,00 Mill. ","5,00 Mill. €"
201,Gustavo Cabral,Centre-Back,Argentina,32,Celta de Vigo,"4,00 Mill. ","4,00 Mill. €"
202,Javi García,Defensive Midfield,Spain,30,Real Betis Balompié,"4,00 Mill. ","5,00 Mill. €"
203,Joan Jordán,Central Midfield,Spain,23,SD Eibar,"3,50 Mill. ","1,00 Mill. €"
204,Roberto Rosales,Right-Back,Venezuela,29,Málaga CF,"3,50 Mill. ","5,00 Mill. €"
205,Takashi Inui,Left Wing,Japan,29,SD Eibar,"3,50 Mill. ","3,00 Mill. €"
206,Adrián López,Centre-Forward,Spain,29,Deportivo de La Coruña,"3,50 Mill. ","3,50 Mill. €"
207,Jozabed Sánchez,Central Midfield,Spain,26,Celta de Vigo,"3,50 Mill. ","3,50 Mill. €"
208,Iago Herrerín,Keeper,Spain,29,Athletic Bilbao,"3,00 Mill. ","3,00 Mill. €"
209,Jon Bautista,Centre-Forward,Spain,22,Real Sociedad,"3,00 Mill. ","5,00 Mill. €"
210,Xabi Prieto,Central Midfield,Spain,34,Real Sociedad,"3,00 Mill. ","3,00 Mill. €"
211,Gabi,Central Midfield,Spain,34,Atlético Madrid,"3,00 Mill. ","3,00 Mill. €"
212,David Zurutuza,Central Midfield,Spain,31,Real Sociedad,"3,00 Mill. ","3,00 Mill. €"
213,Emre Colak,Attacking Midfield,Turkey,26,Deportivo de La Coruña,"4,00 Mill. ","7,50 Mill. €"
214,Sergio Canales,Attacking Midfield,Spain,26,Real Sociedad,"4,00 Mill. ","3,00 Mill. €"
215,Leo Baptistão,Centre-Forward,Brazil,25,RCD Espanyol Barcelona,"4,00 Mill. ","4,00 Mill. €"
216,Recio,Central Midfield,Spain,26,Málaga CF,"3,50 Mill. ","3,50 Mill. €"
217,Andreu Fontàs,Centre-Back,Spain,28,Celta de Vigo,"3,50 Mill. ","2,50 Mill. €"
218,Ganso,Attacking Midfield,Brazil,28,Sevilla FC,"3,50 Mill. ","5,00 Mill. €"
219,Alfonso Pedraza,Left Wing,Spain,21,Deportivo Alavés,"3,50 Mill. ","1,00 Mill. €"
220,Paulo Oliveira,Centre-Back,Portugal,25,SD Eibar,"3,00 Mill. ","4,00 Mill. €"
221,Ibai Gómez,Left Wing,Spain,28,Deportivo Alavés,"3,00 Mill. ","2,00 Mill. €"
222,Amath Ndiaye,Left Wing,Senegal,21,Getafe CF,"3,00 Mill. ","3,00 Mill. €"
223,Pedro Bigas,Centre-Back,Spain,27,UD Las Palmas,"3,00 Mill. ","5,00 Mill. €"
224,David Soria,Keeper,Spain,24,Sevilla FC,"3,00 Mill. ","1,50 Mill. €"
225,Olarenwaju Kayode,Centre-Forward,Nigeria,24,Girona FC,"3,00 Mill. ","4,00 Mill. €"
226,Vicente Gómez,Defensive Midfield,Spain,29,UD Las Palmas,"3,00 Mill. ","3,50 Mill. €"
227,Zouhair Feddal,Centre-Back,Morocco,28,Real Betis Balompié,"3,00 Mill. ","3,00 Mill. €"
228,Fabian Schär,Centre-Back,Switzerland,26,Deportivo de La Coruña,"3,00 Mill. ","2,50 Mill. €"
229,Kévin Rodrigues,Left-Back,Portugal,23,Real Sociedad,"3,00 Mill. ","1,00 Mill. €"
230,Rubén Pardo,Central Midfield,Spain,25,Real Sociedad,"3,00 Mill. ","4,00 Mill. €"
231,Denis Cheryshev,Left Wing,Russia,27,Villarreal CF,"3,00 Mill. ","3,00 Mill. €"
232,Federico Valverde,Central Midfield,Uruguay,19,Deportivo de La Coruña,"3,00 Mill. ","3,00 Mill. €"
233,Rodrigo Ely,Centre-Back,Brazil,24,Deportivo Alavés,"3,00 Mill. ","3,00 Mill. €"
234,Adrián González,Central Midfield,Spain,29,Málaga CF,"3,00 Mill. ","3,00 Mill. €"
235,Bruno Soriano,Defensive Midfield,Spain,33,Villarreal CF,"3,00 Mill. ","5,00 Mill. €"
236,Sergio Álvarez,Keeper,Spain,31,Celta de Vigo,"2,50 Mill. ","5,00 Mill. €"
237,Pedro León,Right Wing,Spain,31,SD Eibar,"2,50 Mill. ","5,00 Mill. €"
238,Tana,Attacking Midfield,Spain,27,UD Las Palmas,"3,00 Mill. ","3,50 Mill. €"
